word,vector
you,"[6.4226985e-04 1.9698322e-02 9.9292684e-01 7.1561933e-03 3.8161078e-01
 1.6307831e-04 9.9463487e-01 9.6470845e-01 3.2813966e-02 5.0956011e-03
 9.8236024e-01 9.4951916e-01 5.4730713e-02 2.3576635e-01 1.4880896e-03
 8.1350082e-01 3.7387013e-04 3.6407948e-01 1.5637279e-04 8.7732238e-01
 9.9282640e-01 9.9588346e-01 9.9978995e-01 2.0747107e-01 9.5980650e-01]"
should,"[1.9171834e-04 3.0966997e-03 9.8382604e-01 1.2627244e-04 4.9869314e-01
 8.9287758e-05 9.9728608e-01 9.9027562e-01 3.5236180e-02 2.1055341e-04
 9.7426534e-01 9.9012768e-01 6.6552758e-03 4.4986883e-01 2.9539168e-03
 9.8587036e-01 9.5358491e-04 2.8202036e-01 4.1246414e-05 8.7696016e-01
 9.9839091e-01 9.9902707e-01 9.9943352e-01 3.7672788e-02 9.8127222e-01]"
know,"[1.5634298e-04 1.6226977e-02 9.9267817e-01 7.6797605e-04 7.6309091e-01
 2.6318431e-04 9.9138129e-01 9.4018710e-01 1.7388284e-02 1.7845333e-03
 9.7234440e-01 9.5171052e-01 4.6994090e-03 6.0709888e-01 9.5406175e-04
 7.0754552e-01 3.0694902e-03 4.8108247e-01 2.4491549e-04 8.3274853e-01
 9.8512501e-01 9.9987322e-01 9.9863052e-01 3.2698691e-02 9.9381655e-01]"
women,"[1.8655360e-03 4.9787462e-03 9.9415100e-01 7.3066354e-04 5.1506895e-01
 9.4234943e-05 9.9850047e-01 9.9259746e-01 3.2160375e-01 9.3955100e-03
 9.8896217e-01 9.5466256e-01 3.0635893e-02 3.5334760e-01 1.1947751e-03
 9.5925033e-01 1.1656880e-03 2.0603698e-01 7.9882145e-04 9.4142151e-01
 9.9270785e-01 9.8620176e-01 9.9927413e-01 8.5981697e-02 9.5819545e-01]"
s,"[2.50786543e-04 1.26669705e-02 9.89793062e-01 1.61793828e-03
 5.49919307e-01 1.15126371e-04 9.97401834e-01 9.25310850e-01
 4.76928353e-02 2.41920352e-03 9.91854310e-01 9.91771162e-01
 2.56125033e-02 6.49323344e-01 7.36594200e-04 9.32121933e-01
 3.31205130e-03 4.00867641e-01 5.00679016e-05 8.58304024e-01
 9.98717308e-01 9.91287827e-01 9.96503592e-01 2.84689069e-02
 9.40747261e-01]"
sports,"[3.1918287e-05 7.4033439e-03 9.9161339e-01 7.5405836e-04 5.7617968e-01
 5.8412552e-06 9.9804735e-01 9.7234726e-01 1.9147903e-02 1.6746223e-03
 9.8280555e-01 9.8619533e-01 1.2638181e-02 5.3063494e-01 8.1619620e-04
 9.0143383e-01 1.0019839e-03 5.6580400e-01 7.5674057e-04 7.4404079e-01
 9.9552429e-01 9.9784589e-01 9.9841654e-01 1.4020473e-02 9.8157364e-01]"
are,"[8.0168247e-05 3.6135286e-02 9.7702587e-01 3.6975741e-04 5.1248860e-01
 7.0005655e-05 9.9807626e-01 8.8904256e-01 5.5592656e-03 2.6696920e-03
 9.9008083e-01 9.5967132e-01 2.0639002e-03 3.2281876e-01 3.0852556e-03
 8.6027682e-01 2.8204322e-03 3.6134407e-01 1.2990832e-04 4.2775458e-01
 9.9346000e-01 9.9912643e-01 9.9881190e-01 1.3737172e-02 9.8706472e-01]"
a,"[1.7669797e-04 3.5959095e-02 9.9645770e-01 3.0165911e-03 7.1251047e-01
 7.1495771e-05 9.9884462e-01 8.8964736e-01 2.8850964e-01 8.4142089e-03
 9.8338223e-01 9.7094107e-01 1.4517158e-02 5.0942028e-01 2.6632547e-03
 7.0527112e-01 7.4082613e-04 3.5002598e-01 5.1498413e-05 9.3029892e-01
 9.9892747e-01 9.5818800e-01 9.9890900e-01 1.5088707e-02 9.4103003e-01]"
joke,"[1.4066696e-04 1.3176441e-02 9.9569392e-01 9.6342862e-03 8.5840487e-01
 1.8626451e-05 9.9753463e-01 9.0790284e-01 1.6437826e-01 4.5436621e-03
 9.8556364e-01 9.3567950e-01 8.8143349e-03 4.6431512e-01 5.2625835e-03
 6.6765493e-01 4.2393804e-04 7.7859575e-01 4.8977137e-04 8.0405664e-01
 9.9949288e-01 9.9233675e-01 9.9896538e-01 3.2092512e-02 9.9365944e-01]"
look,"[2.8800964e-04 1.6307235e-02 9.8167562e-01 1.5470386e-04 2.8610134e-01
 8.1628561e-05 9.6254539e-01 6.4307392e-01 4.4099003e-02 1.6219318e-03
 9.9133861e-01 9.7889507e-01 1.0356814e-02 4.8980105e-01 2.7349591e-04
 9.8638064e-01 7.5936317e-04 2.7993461e-01 1.2752414e-04 8.3149612e-01
 9.7363412e-01 9.9825758e-01 9.9778342e-01 2.0153105e-02 9.7599161e-01]"
